building_address,clue_small_area,parking_type,parking_spaces,longitude,latitude,location,street_address,suburb,postcode
208-226 Harbour Esplanade DOCKLANDS VIC 3008,Docklands,Commercial,134,144.9451557020928,-37.81315833975,"-37.81315833975, 144.9451557020928",208-226 Harbour Esplanade,DOCKLANDS,3008
141-165 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,350,144.96876152725,-37.81545151804356,"-37.81545151804356, 144.96876152725",141-165 Collins Street,MELBOURNE,3000
601-611 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,55,144.95490436805,-37.81802842820203,"-37.81802842820203, 144.95490436805",601-611 Little Collins Street,MELBOURNE,3000
34-60 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,932,144.97196176914562,-37.81237405065,"-37.81237405065, 144.97196176914562",34-60 Little Collins Street,MELBOURNE,3000
The Paramount 100-116 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,418,144.96976088474997,-37.81172679558099,"-37.81172679558099, 144.96976088474997",The Paramount 100-116 Bourke Street,MELBOURNE,3000
217-231 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,390,144.96586746042516,-37.8117993249,"-37.8117993249, 144.96586746042516",217-231 Lonsdale Street,MELBOURNE,3000
Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,722,144.96283887063584,-37.8109017475,"-37.8109017475, 144.96283887063584",Melbourne Central 183-265 La Trobe Street,MELBOURNE,3000
383-405 King Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Commercial,54,144.95292445135,-37.811107628597085,"-37.811107628597085, 144.95292445135",383-405 King Street WEST,MELBOURNE,3003
Carlton Clocktower Complex 247-253 Drummond Street CARLTON VIC 3053,Carlton,Commercial,244,144.96780654925894,-37.7998239881,"-37.7998239881, 144.96780654925894",Carlton Clocktower Complex 247-253 Drummond Street,CARLTON,3053
376-388 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,315,144.9615539836168,-37.81884131955,"-37.81884131955, 144.9615539836168",376-388 Flinders Street,MELBOURNE,3000
613-639 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,300,144.95436479768804,-37.81818416285,"-37.81818416285, 144.95436479768804",613-639 Little Collins Street,MELBOURNE,3000
479-495 La Trobe Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,208,144.9549226031,-37.81270723965592,"-37.81270723965592, 144.9549226031",479-495 La Trobe Street,MELBOURNE,3000
"Carpark Rear 280-318 William Street, MELBOURNE VIC 3000",Melbourne (CBD),Commercial,152,144.9573593037722,-37.8120900551,"-37.8120900551, 144.9573593037722","Carpark Rear 280-318 William Street,",MELBOURNE,3000
MU Eastern Precinct Carpark 375 Cardigan Street CARLTON VIC 3053,Carlton,Commercial,722,144.96573328979514,-37.79750931995,"-37.797509319949995, 144.96573328979514",MU Eastern Precinct Carpark 375 Cardigan Street,CARLTON,3053
96 Grattan Street CARLTON VIC 3053,Carlton,Commercial,600,144.96602516349998,-37.79968042849998,"-37.79968042849998, 144.96602516349998",96 Grattan Street,CARLTON,3053
Melbourne Museum 11 Nicholson Street CARLTON VIC 3053,Carlton,Commercial,848,144.97162875087292,-37.803974460350005,"-37.803974460350005, 144.97162875087292",Melbourne Museum 11 Nicholson Street,CARLTON,3053
Arden Plaza & Offices 111-133 Canning Street NORTH MELBOURNE VIC 3051,North Melbourne,Commercial,328,144.9406914138578,-37.7962407086,"-37.7962407086, 144.9406914138578",Arden Plaza & Offices 111-133 Canning Street NORTH,MELBOURNE,3051
44-60 Curzon Street NORTH MELBOURNE VIC 3051,North Melbourne,Commercial,38,144.94838149115,-37.80336810915098,"-37.80336810915098, 144.94838149115",44-60 Curzon Street NORTH,MELBOURNE,3051
100 Batman Avenue MELBOURNE VIC 3004,Melbourne (Remainder),Commercial,82,144.9753282174408,-37.8177340303,"-37.8177340303, 144.9753282174408",100 Batman Avenue,MELBOURNE,3004
553 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Commercial,183,144.98037831863508,-37.8468529988,"-37.8468529988, 144.98037831863508",553 St Kilda Road,MELBOURNE,3004
Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,Commercial,154,144.95222688975,-37.81841172740791,"-37.81841172740791, 144.95222688975",Southern Cross Station 85-161 Spencer Street,DOCKLANDS,3008
The Podium Building 2-24 Waterview Walk DOCKLANDS VIC 3008,Docklands,Commercial,113,144.94799200433602,-37.8193808719,"-37.8193808719, 144.94799200433602",The Podium Building 2-24 Waterview Walk,DOCKLANDS,3008
Aquavista 397-407 Docklands Drive DOCKLANDS VIC 3008,Docklands,Commercial,329,144.9402116114489,-37.81428809645,"-37.81428809645, 144.9402116114489",Aquavista 397-407 Docklands Drive,DOCKLANDS,3008
NW Building 23-37 Star Crescent DOCKLANDS VIC 3008,Docklands,Commercial,680,144.93799833512347,-37.8132875139,"-37.8132875139, 144.93799833512347",NW Building 23-37 Star Crescent,DOCKLANDS,3008
222-260 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,205,144.9628888512,-37.812700236361295,"-37.812700236361295, 144.9628888512",222-260 Elizabeth Street,MELBOURNE,3000
Mantra On Russell 210-222 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,427,144.9679605734296,-37.81133821925,"-37.81133821925, 144.9679605734296",Mantra On Russell 210-222 Russell Street,MELBOURNE,3000
535 Little Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,800,144.95600158025002,-37.81346261063083,"-37.81346261063083, 144.95600158025002",535 Little Lonsdale Street,MELBOURNE,3000
265-281 Faraday Street CARLTON VIC 3053,Carlton,Commercial,460,144.965334539754,-37.7988985808,"-37.7988985808, 144.965334539754",265-281 Faraday Street,CARLTON,3053
204-218 Lygon Street CARLTON VIC 3053,Carlton,Commercial,408,144.9671430803723,-37.80218764015,"-37.802187640149995, 144.9671430803723",204-218 Lygon Street,CARLTON,3053
RMIT Building 91 110-120 Victoria Street CARLTON VIC 3053,Carlton,Commercial,200,144.96369848185,-37.8063242669881,"-37.8063242669881, 144.96369848185",RMIT Building 91 110-120 Victoria Street,CARLTON,3053
94-106 Grey Street EAST MELBOURNE VIC 3002,East Melbourne,Commercial,450,144.98515312732948,-37.8114270487,"-37.8114270487, 144.98515312732948",94-106 Grey Street EAST,MELBOURNE,3002
