postcode,offence_division,offence_subdivision,offence_subgroup,offence_count
3039,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,9
3039,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
3039,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,44
3039,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,77
3039,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,75
3039,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,297
3039,B Property and deception offences,B40 Theft,B43 Steal from a retail store,151
3039,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,49
3039,B Property and deception offences,B40 Theft,B49 Other theft,220
3040,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,7
3040,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2
3040,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,13
3040,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,68
3040,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,71
3040,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3040,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,101
3040,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,425
3040,B Property and deception offences,B40 Theft,B43 Steal from a retail store,33
3040,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,17
3040,B Property and deception offences,B40 Theft,B49 Other theft,214
3041,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,3
3041,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,8
3041,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,27
3041,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,40
3041,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,1
3041,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,75
3041,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,228
3041,B Property and deception offences,B40 Theft,B43 Steal from a retail store,113
3041,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,4
3041,B Property and deception offences,B40 Theft,B49 Other theft,92
3042,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,4
3042,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,1
3042,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,5
3042,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,2
3042,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,28
3042,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,73
3042,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,97
3042,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,316
3042,B Property and deception offences,B40 Theft,B43 Steal from a retail store,121
3042,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,5
3042,B Property and deception offences,B40 Theft,B49 Other theft,181
3043,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,3
3043,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,5
3043,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1
